citation_key_lr,citation_key_cp,focal_citations,textual,separate,comp_sup,prp,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,sentence_popularity amin,sentence_popularity amax,sentence_popularity mean,context_popularity amin,context_popularity amax,context_popularity mean,sentence_density amin,sentence_density amax,sentence_density mean,context_density amin,context_density amax,context_density mean,position_in_sentence amin,position_in_sentence amax,position_in_sentence mean,sentence_neg amin,sentence_neg amax,sentence_neg mean,sentence_neu amin,sentence_neu amax,sentence_neu mean,sentence_pos amin,sentence_pos amax,sentence_pos mean,sentence_compound amin,sentence_compound amax,sentence_compound mean,context_neg amin,context_neg amax,context_neg mean,context_neu amin,context_neu amax,context_neu mean,context_pos amin,context_pos amax,context_pos mean,context_compound amin,context_compound amax,context_compound mean,self_citation,title_similarity,abstract_similarity,SYN,TT,TB,RG,CRI,RA,total_references,total_citations,weighted_citation_count,mention_positions_10,mention_positions_20,mention_positions_30,mention_positions_40,mention_positions_50,mention_positions_60,mention_positions_70,mention_positions_80,mention_positions_90,mention_positions_100,heading_category_NA,heading_category_intro,heading_category_background,heading_category_theory,heading_category_methods,heading_category_results,heading_category_implications,heading_category_appendix,ref_in_title,ref_in_heading,ref_in_figure_description,ref_in_table_description,USE
Brynjolfsson1993,Bharadwaj2000,7,7,2,0,0,0,3,4,0,0,1,0,3,1.71428571428571,0,5,2.71428571428571,0.25,1,0.585714285714286,0.2,1,0.564285714285714,0.399141630901288,0.996621621621622,0.842529017914294,0,0.147,0.060428571428572,0.673,1,0.834,0,0.302,0.105428571428571,-0.5423,0.9348,0.1454,0,0.121,0.058571428571429,0.722,0.938,0.838571428571429,0,0.263,0.102857142857143,-0.5423,0.9665,0.1665,False,0.325561592614125,0.014624774828267,True,False,True,True,True,False,124,172,0.040697674418605,3,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,False,0,0,0,False
Soh1995,Bharadwaj2000,1,1,0,0,0,0,1,1,0,0,0,2,2,2,9,9,9,0.333333333333333,0.333333333333333,0.333333333333333,0.1,0.1,0.1,0.993589743589744,0.993589743589744,0.993589743589744,0,0,0,1,1,1,0,0,0,0,0,0,0.028,0.028,0.028,0.851,0.851,0.851,0.122,0.122,0.122,0.802,0.802,0.802,False,0.010817467748454,0.036473219379435,True,False,True,False,False,False,124,172,0.005813953488372,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0,0,0,False
Brynjolfsson1993,Brancheau1996,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99,0.99,0.99,0.085,0.085,0.085,0.915,0.915,0.915,0,0,0,-0.1027,-0.1027,-0.1027,0.016,0.016,0.016,0.879,0.879,0.879,0.105,0.105,0.105,0.7096,0.7096,0.7096,False,0.161565141349281,0.032620109357145,True,False,True,True,True,False,10,18,0.055555555555556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False,0,0,0,False
Brynjolfsson1993,Brynjolfsson1996a,5,5,4,0,0,1,1,1,0,1,0,0,4,1,0,4,1,0.2,1,0.74,0.2,1,0.74,0.107438016528926,0.995708154506438,0.659037470847047,0,0.044,0.0176,0.793,1,0.8878,0,0.207,0.0946,0,0.7783,0.3572,0,0.094,0.039,0.75,0.949,0.8336,0.051,0.172,0.1276,0.2862,0.8622,0.6927,True,0.45435228551061,0.095350194533295,True,False,True,True,True,False,43,68,0.073529411764706,2,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,False,0,0,0,False
Brynjolfsson1993,Chan2000,5,0,4,0,0,1,0,0,0,0,0,0,1,0.4,0,4,2.6,0.5,1,0.8,0.2,1,0.396666666666667,0.136363636363636,0.926829268292683,0.435084755919812,0,0.118,0.043,0.882,1,0.957,0,0,0,-0.2808,0,-0.0767,0.045,0.159,0.1018,0.628,0.899,0.8072,0.03,0.213,0.091,-0.6398,0.7556,-0.02682,False,0.002961054846996,0.122513399216539,True,False,True,True,True,False,149,76,0.065789473684211,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,False,0,0,0,True
Brynjolfsson1993,Chang2003,2,0,1,0,0,0,2,2,0,0,1,7,8,7.5,7,8,7.5,0.111111111111111,0.125,0.118055555555556,0.111111111111111,0.125,0.118055555555556,0.478599221789883,0.544117647058823,0.511358434424353,0,0,0,0.935,0.957,0.946,0.043,0.065,0.054,0.2732,0.34,0.3066,0,0,0,0.935,0.966,0.9505,0.034,0.065,0.0495,0.2732,0.5423,0.40775,False,0.196089446773038,0.043367576837597,True,False,True,True,True,False,101,139,0.014388489208633,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,False,0,0,0,True
Kohli2003,Chang2003,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99375,0.99375,0.99375,0,0,0,0.865,0.865,0.865,0.135,0.135,0.135,0.5574,0.5574,0.5574,0,0,0,0.876,0.876,0.876,0.124,0.124,0.124,0.7579,0.7579,0.7579,False,0.281839371663115,0.165311153431512,True,True,False,False,False,False,101,139,0.007194244604317,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False,0,0,0,False
Seddon1999,Chang2003,2,0,1,0,0,0,0,2,1,0,1,0,1,0.5,0,2,1,0.5,1,0.75,0.333333333333333,1,0.666666666666667,0.104,0.993006993006993,0.548503496503496,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.864,0.936,0.9,0.064,0.136,0.1,0.296,0.8442,0.5701,False,0.420027742894127,0.252722614907425,True,False,True,False,True,False,101,139,0.014388489208633,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,0,0,0,False
Brynjolfsson1993,Chang2006,4,4,2,0,0,0,2,3,0,1,1,1,1,1,1,4,2,0.5,0.5,0.5,0.2,0.5,0.383333333333333,0.098360655737705,0.996742671009772,0.749588525185321,0.038,0.256,0.107,0.631,0.938,0.841,0,0.114,0.05225,-0.5423,0.4019,-0.2039,0.036,0.116,0.07325,0.761,0.964,0.87125,0,0.122,0.0555,-0.357,0.1027,-0.18685,False,0.137737847919482,0.054399115526772,True,False,True,True,True,False,82,119,0.033613445378151,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,False,0,0,0,False
Melville2004,Chang2006,4,4,1,0,0,0,0,1,0,0,0,0,10,4.75,1,11,6.5,0.090909090909091,1,0.370941558441558,0.083333333333333,0.5,0.229166666666667,0,0.997987927565392,0.747738352264918,0,0.262,0.10575,0.675,0.824,0.766,0.058,0.216,0.12825,-0.8555,0.7906,-0.035625,0,0.262,0.09625,0.675,0.81,0.76775,0.063,0.21,0.136,-0.8555,0.8957,0.060875,False,0.096004737879199,0.175915453834412,True,False,True,True,False,True,82,119,0.033613445378151,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,0,0,0,False
