citation_key_lr,citation_key_cp,self_citation,title_similarity,abstract_similarity,ref_in_title,NOT,SYN_TB,CRI_ADDR,RG_SYN,RG_CLOSE,RA_CLOSE,TB_TB,TB_TT,TB_RG,TT_TT,TT_RG
Brynjolfsson1993,DosSantos2012,False,0.005566896696271886,0.00984808196637051,False,True,False,False,False,False,False,False,False,False,False,False
DeLone1992,DosSantos2012,False,-0.007923400283378994,0.053750906806819834,False,False,False,False,False,False,False,False,False,False,False,False
DeLone2003,DosSantos2012,False,-0.0048575867309591314,0.03690318031450865,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,DosSantos2012,False,0.010846872359916044,0.13081272611668862,False,False,False,False,False,False,False,False,False,True,False,False
Wade2004,DosSantos2012,False,0.0012844730132891466,0.15709278256947146,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Drnevich2013,False,0.3629128761849397,0.08684130130660549,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2003,Drnevich2013,False,0.22596505207215362,0.14541553201159269,False,False,False,False,False,False,False,False,False,False,False,True
Melville2004,Drnevich2013,False,0.24445800422930145,0.2750706948415374,False,True,False,False,False,False,False,False,False,False,False,False
Wade2004,Drnevich2013,False,0.08664993885266876,0.1349239498120004,False,True,False,False,False,False,False,False,False,False,False,False
Piccoli2005,Drnevich2013,False,-0.00244863901357734,0.12961407969511535,False,False,False,False,True,True,False,False,False,True,False,False
Brynjolfsson1993,Farbey1999,False,-0.0010338707677893014,0.042443062065558805,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Fichman2004,False,0.3112901020914136,0.003968889011079673,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2003,Fichman2004,False,0.2952128410042057,0.11057291336493166,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Fichman2004,False,0.20125515595367272,0.15204915859242263,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Francalanci1998,False,0.5526525971523553,0.2561023306491751,False,False,True,True,False,False,False,False,False,False,False,False
Brynjolfsson1993,Francalanci1998a,False,0.009647540144248542,0.2033514108669175,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Francalanci2008,False,0.010095960143242315,0.08044209975439812,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Francalanci2008,False,0.3764830304512755,0.301001456399071,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Frisk2014a,False,0.011701656732490257,0.028293370881262467,False,True,False,False,False,False,False,False,False,False,False,False
DeLone1992,Frisk2014a,False,-0.0057586214932013186,0.13060053837559735,False,False,False,False,False,False,False,False,False,False,False,False
DeLone2003,Frisk2014a,False,-0.005131010503522236,0.08018869502114051,False,True,False,False,False,False,False,False,False,False,False,False
Seddon1999,Frisk2014a,False,0.0047207654983399145,0.05060880537316507,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2008,Frisk2014a,False,0.002889647839210757,0.08056571132063921,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Gable2008,False,0.1679661445620727,0.0540444070575161,False,True,False,False,False,False,False,False,False,False,False,False
DeLone1992,Gable2008,False,0.33709054326254906,0.338712538781451,False,False,True,False,False,False,False,True,False,False,False,False
DeLone2003,Gable2008,False,0.41448575016793376,0.2892306661314869,False,False,True,False,False,False,False,True,False,False,False,False
Seddon1999,Gable2008,False,0.41526816217034224,0.3212050192928933,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Gable2008,False,0.26047349139268483,0.23464598916027668,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Gannon2013,False,-0.00051328465474623,0.11407988787315466,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Gregor2006,False,0.3949160056589826,0.07034656781100124,False,True,False,False,False,False,False,False,False,False,False,False
DeLone1992,Gregor2006,False,0.15800612802313171,0.12287013534261122,False,True,False,False,False,False,False,False,False,False,False,False
DeLone2003,Gregor2006,False,0.1258216659127903,0.03491344838627663,False,False,False,False,False,False,False,False,False,True,False,False
Kohli2003,Gregor2006,False,0.23800550988522676,0.12068514101761019,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Gregor2006,False,0.5442822404083756,0.3279739823372819,False,False,False,False,False,False,False,True,False,False,False,False
Dehning2002,Gregor2006,False,0.33485693550524515,0.22573802417260702,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Gurbaxani2000,False,0.28924668529196573,0.09498074422514778,False,False,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Habjan2014,False,0.13890632609076353,0.050518812044547785,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2003,Habjan2014,False,0.09232400762546873,0.14860320643259514,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Habjan2014,False,0.09234057442645487,0.25709857210944703,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2008,Habjan2014,False,0.004460276944690498,0.1044974164479752,False,True,False,False,False,False,False,False,False,False,False,False
Dedrick2003,Habjan2014,False,0.1098681401627639,0.1250399456167531,False,False,False,False,False,True,False,False,False,False,False,False
Petter2008,Habjan2014,False,0.09656466475528018,0.10297329439918887,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Hadaya2012,False,0.002356575495427369,0.03961257337276391,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2008,Hadaya2012,False,0.12953290601107847,0.42212319522602454,False,False,False,False,True,False,False,False,False,False,False,False
Dedrick2003,Hadaya2012,False,0.01577146504715796,0.2308974504344648,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Hedman2003,False,-0.0004901015669848104,0.035269651756539774,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Henderson1995,False,0.005687295737592776,0.08686985337734147,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Hitt1996,True,0.50682663987378,0.2511742087770502,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Im2001,False,0.01449139578554688,0.06707345736913783,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1996,Im2001,False,0.0004628154791333923,0.11049683320876716,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Irani2001,False,0.1758413801512565,0.12631696444583593,False,True,False,False,False,False,False,False,False,False,False,False
Irani2002,Irani2001,True,0.18503347710800255,0.17286978181874701,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Jones2001,False,0.008429020426220917,0.087877544618116,False,True,False,False,False,False,False,False,False,False,False,False
Soh1995,Jones2001,False,0.17415296756022777,0.08229690663413285,False,True,False,False,False,False,False,False,False,False,False,False
